"place","journal","journal_entry","date_mdy","month","transcription_accuracy","location","location_accuracy","local_place_accuracy","latitude","latitude_origin","longitude","longitude_origin","quantity","unit","item","letter","letter_to","letter_from","wind_direction_am","wind_direction_pm","wind_direction_night","weather_condition_am","weather_condition_pm","weather_condition_night","temperature_am","temperature_pm","temperature_night","image_path","image_description","recorder","notes","noteworthy","second_check"
"Home",3,"The wind South West heavy rain in afternoon with thunder","07/16/1874","July","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"SW",NA,NA,NA,"heavy rain",NA,NA,NA,NA,NA,NA,"WD",NA,NA,"DD, LN"
"Home",3,"The wind North West and pleasant haying hauled in 15 stacks","08/03/1874","August","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,"15","stack","hay","no letter",NA,NA,"NW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"DD, LN"
"Home",3,"The wind N. N. E. worked on vessel in forenoon made mast thot in afternoon wrote letter to Hancock Company Pub Co enclosed $1.60","08/15/1874","August","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"write","Hancock Company",NA,"NNE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"DD, LN"
"Home",3,"The wind Northerly got in home at 2 AM came out at one PM went through Western way at sunset and anchored in outer Bass Harbor at 12 oclock at night perfectly calm wrote letter to Bangor","09/02/1874","September","confident","Schoodic Peninsula, Winter Harbor, Bass Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"write","Bangor",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"DD, LN"
"Home",3,"The wind Northerly went to West Gouldsboro and East sullivan after a load of wood and to settle with James Doyle for a load carried to Boston. wrote letter to E. H. Wallace","10/14/1874","October","confident","Winter Harbor, West Gouldsboro, East Sullivan, Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"write","E. H. Wallace",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"DD, LN"
"Home",3,"The wind West N West in forenoon W. S. W in afternoon left home at 2 oclock pm for East Sullivan to load with staves for Rockland, arrived at dark and hauled into the wharf","10/20/1874","October","confident","Winter Harbor, East Sullivan","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"WNW","WSW",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"DD, LN"
"Home",3,"The wind South West and foggy made decoys for Geo Gerrish and dug potatoes wrote letter to Thomas Bunker.","10/26/1874","October","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"write","Thomas Bunker",NA,"SW",NA,NA,"foggy",NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"DD, LN"
"Home",3,"The wind North West in morning got under way in the morning for Rockland in the afternoon the wind hauled South W.  by. W. anchored in Bass Harbor at 4 p.m.","11/01/1874","November","confident","Winter Harbor, Bass Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW","SWW",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"DD, LN"
"Home",3,"The wind Northerly hauled into the wharf recd letter from Thomas Bunker","11/07/1874","November","confident","Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"read",NA,"Thomas Bunker","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"DD, LN"
"Home",3,"The wind W. N. W. heavy blow laid at anchor in Winter Harbor","11/19/1874","November","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"WNW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"DD, LN"
"Home",3,"The wind North West Christmas work in shop","12/25/1874","December","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,"not mentioned",NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"DD, LN"
"Home",3,"The wind North West dreadful heavy blow and very cold staid in house and taped boots","12/31/1874","December","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,"not mentioned",NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,"very cold",NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"DD, LN"
"Home",4,"The wind North East wrote letter to the Secretary of Narraguagus Lodge got the Sea Flower underway and went to South West Harbor and landed freight hauled away from wharf at dark.","01/05/1875","January","confident","Winter Harbor, Southwest Harbor, Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"write","Narraguagus Lodge",NA,"NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"DD, RL"
"Home",4,"The wind Westerly moderate wrote letter to Benj. Kittridge work in shop","01/11/1875","January","confident","Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"write","Benjamin Kittridge",NA,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH","changed Kittredge ot Kittridge",NA,"DD, RL"
"Home",4,"The wind North West","01/17/1875","January","confident","Winter Harbor","assumed",NA,44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"DD, RL"
"Home",4,"The wind N.N. W. cold and blustering work turning in shop.","01/23/1875","January","confident","Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NNW",NA,NA,"cold",NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"DD, RL"
"Home",4,"The wind North East moderate rain work in shop on ballance wheel made canvass belt in evening","01/29/1875","January","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,"1","count","belt","no letter",NA,NA,"NE",NA,NA,"rain",NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"DD, RL"
"Home",4,"The wind Westerly good breeze finished saw table recd letter from Benj. Kittridge","02/04/1875","February","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"read",NA,"Benjamin Kittridge","W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH","changed Kittredge to Kittridge",NA,"DD, RL"
"Home",4,"The wind North West work in woods cutting wood","02/10/1875","February","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"DD, RL"
"Home",4,"The wind North West went in the woods. James Stevens Girl died at 6 P.M.","02/16/1875","February","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"WD, DD, RL"
"Home",4,"The wind North West good breeze. snow squalls in morning","02/28/1875","February","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,"snow squalls",NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"DD, RL"
"Home",4,"The wind Easterly and pleasant. wrote letter to Caroline Blaisdell. work in shop","03/06/1875","March","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"write","Caroline Blaisdell",NA,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"DD, RL"
"Home",4,"The wind W. N. W. very heavy blow run wind mill turning belaying pins etc. Recd letter from Capt Thomas Bunker","03/18/1875","March","confident","Winter Harbor","assumed",NA,44.39044,NA,68.09314,NA,NA,NA,NA,"read",NA,"Thomas Bunker","WNW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NH","changed &c to etc.",NA,"DD, RL"
"Home",4,"The wind North East rainy all day untill about sunset. the wind hauling to the North. wrote letters to Thomas Bunker Register of Probate Caroline Blaisdell and Saml. Libby","04/05/1875","April","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"write","Thomas Bunker, Register of Probate, Caroline Blaisdell, Samuel Libby",NA,"NE",NA,NA,"rain","rain",NA,NA,NA,NA,NA,NA,"NH",NA,NA,"DD, RL"
"Wharf",4,"The wind Easterly Rainy in forenoon did not work. In the Afternoon held up raining and finished on loading and hauled away from the wharf at night and went to Wehawken to load with coal.","05/04/1875","May","confident","Jersey City, Weehawken","assumed","mentioned",44.38937,NA,68.08918,NA,NA,NA,NA,"no letter",NA,NA,"E",NA,NA,"rainy",NA,NA,NA,NA,NA,NA,NA,"NH",NA,NA,"DD, RL"
"Home",4,"The wind Southerly and foggy work in shop","07/16/1875","July","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,"foggy",NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"DD"
"Home",4,"The wind Southerly and foggy. wrote letters to Mary Am. Rosebrook work in shop","07/22/1875","July","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"write","Mary Am Rosebrook",NA,"S",NA,NA,"foggy",NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"DD"
"Home",4,"The wind Southerly and foggy. work in garden washed out fish and work in shop finished the Crib.","07/28/1875","July","confident","Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,"foggy",NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"RL"
"Home",4,"The wind South and very hot work 1/4 day hewing sleepers for J. R. Hammond house","08/27/1875","August","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,"very hot",NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"RL"
"Home",4,"The wind Southerly Commenced work on T. R. Hammond's. house worked all day","09/14/1875","September","confident","Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"SW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"RL"
"Home",4,"The wind South West work all day on T.R. Hammonds House","09/20/1875","September","confident","Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"SW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"RL"
"Home",4,"The wind Southerly and rainy in afternoon. The wind came of to the North at dark.","09/26/1875","September","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,"N","rainy",NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"RL"
"Home",4,"The wind W.N.W. work all day on T.R. Hammonds house. putting on finish.","10/02/1875","October","confident","Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"WNW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"RL"
"Home",4,"The wind N. West in morning and South West in the afternoon. Splitting wood at the door Alma Torrey Died at 2 p.m.","10/08/1875","October","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW","SW",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"RL"
"Home",4,"The wind South Easterly Gathered turnips beets and carrots","10/14/1875","October","confident","Winter Habror","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"RL"
"Wharf",4,"The wind Easterly laid at the wharf working on vessel getting ready for sea bound to New York.","10/19/1875","October","confident","Winter Harbor","assumed","mentioned",44.38937,NA,68.08918,NA,NA,NA,NA,"no letter",NA,NA,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"RL"
"Home",5,"Very moderate Southerly attended Wharf meeting","08/05/1876","August","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"AS"
"Home",5,"The wind North West work in shop","08/23/1876","August","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"AS"
"Home",5,"The wind Westerly work in Shop","08/29/1876","August","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"AS"
"Home",5,"The wind South West work on T. H. Smallidges barn all day","09/04/1876","September","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"SW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"AS"
"Home",5,"The wind North West work in Shop. For myself","09/16/1876","September","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"AS"
"Home",5,"The wind Southerly. work in shop building boat","09/22/1876","September","somewhat confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","unsure in bold",NA,"AS"
"Home",5,"The wind Southerly work in Shop","09/28/1876","September","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"AS"
"Home",5,"The wind South West fresh breeze. went down to turtle Isle gunning in forenoon. And in the afternoon went to work claplaeding TH Smallidges barn","10/04/1876","October","somewhat confident","Winter Harbor, Turtle Island, Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"SW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","unsure in bold",NA,"AS"
"Home",5,"The wind Southerly work in shop","11/03/1876","November","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"AS"
"Home",5,"The wind very moderate and overcast all day vary light air Northerly work about home","11/09/1876","November","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"N","N","N","overcast","overcast","overcast",NA,NA,NA,NA,NA,"DD",NA,NA,"AS"
"Home",5,"The wind North went gunning in forenoon. In the afternoon worked for G.W.Tracy on out buildings","11/15/1876","November","confident","Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"AS"
"Home",5,"The wind North East, and overcast in the afternoon snow storm. Reed deed of Crow Island. from state land agent. work at home in shop and putting besh around the house","12/09/1876","December","somewhat confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NE",NA,NA,"overcast, snow storm",NA,NA,NA,NA,NA,NA,NA,"DD","unsure in bold",NA,"AS"
"Home",5,"The wind Westerly fresh breeze. work in shop.","12/15/1876","December","confident","Winter Harbor","mentioned","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"AS"
"Home",6,"The wind South West moderate wind and warm. jobbling in shop.","01/08/1877","January","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"SW",NA,NA,"warm",NA,NA,NA,NA,NA,NA,NA,"DD","wind direction entered in am as does not specify time of day, same with wind speed and weather cond",NA,"GG"
"Home",6,"The wind Southerly and in the afternoon rainy work in shop","01/20/1877","January","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,NA,"rainy",NA,NA,NA,NA,NA,NA,"DD","wind direction entered in am as does not specify time of day",NA,"GG"
"Home",6,"Calm all day work in shop making chairs Reed letter from Nahum Rosebrook. met for Rehearsal at G.W.Tracys.store.","02/01/1877","February","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,"Count","Chair","read",NA,"Nahum Rosebrook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"GG"
"Hall",6,"Calm in forenoon wind westerly in afternoon Work building stage in Hall for Exhibition.","02/05/1877","February","somewhat confident",NA,NA,"mentioned",44.39168,NA,68.09103,NA,NA,NA,NA,"no letter",NA,NA,NA,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","unsure in bold",NA,"GG"
"Home",6,"The wind North Heavy blow and snow work in forenoon in Shop making Coffin for Ms Danile Southard and in the afternoon work in the Hall makind Scenery frames for Exhibition.","02/13/1877","February","somewhat confident",NA,NA,"assumed",44.39044,NA,68.09314,NA,"1","Count","Coffin, Scenery frame","no letter",NA,NA,"N",NA,NA,"Snow",NA,NA,NA,NA,NA,NA,NA,"DD","unsure in bold, wind direction entered in am as does not specify time of day, same with wind speed and weather cond, not specific on number of scenery frames",NA,"GG"
"Home",6,"The wind Westerly. work in shop in forenoon. And in the afternoon work in Hall","02/19/1877","February","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"W",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","wind direction entered in am as does not specify time of day",NA,"GG"
"Home",6,"The wind northerly work about home","03/03/1877","March","confident","Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","wind direction entered in am as does not specify time of day",NA,"GG"
"Home",6,"The wind Southerly Heavy rain all day work in shop","03/09/1877","March","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,"heavy rain","heavy rain","heavy rain",NA,NA,NA,NA,NA,"DD","wind direction entered in am as does not specify time of day",NA,"GG"
"Home",6,"The wind S.S. East. rainy. Left Ellsworth for home at 2 oclock P.M. arrived at dark","03/21/1877","March","confident","Ellsworth, Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"SSE",NA,NA,"rainy",NA,NA,NA,NA,NA,NA,NA,"DD","wind direction entered in am as does not specify time of day, same with weather cond",NA,"GG"
"Home",6,"The wind South East and rainy all day. reed lettre from Lee Narraguagus Lodge. work in shop","03/27/1877","March","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"read",NA,"Lee Narraguagus","SE",NA,NA,"rainy","rainy","rainy",NA,NA,NA,NA,NA,"DD","wind direction entered in am as does not specify time of day",NA,"GG"
"Wharf",6,"The wind North East Got away from the wharf in the morning and got in home Shiped a new crew and went out in the afternoon and got to Deer Isles at dark.","05/07/1877","May","somewhat confident","Deer Isles","mentioned","mentioned",44.38937,NA,68.08918,NA,NA,NA,NA,"no letter",NA,NA,"NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","unsure in bold, wind direction entered in am as does not specify time of day",NA,"GG"
"Home",6,"The wind South West took the boat and went to Sullivan after freight but could get more. the wind Northerly in afternoon came home at night Reed letter from Lynam Toby Leo","06/25/1877","June","somewhat confident","Sullivan","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"read",NA,"Lynam Toby Leo","SW","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","unsure in bold",NA,"GG"
"Home",6,"The wind Southerly fresh. breeze and rainy all day went home by land.","07/01/1877","July","confident",NA,NA,"mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,"rainy","rainy","rainy",NA,NA,NA,NA,NA,"DD","wind direction entered in am as does not specify time of day",NA,"GG"
"Hall",6,"The wind Southerly & foggy. Went to the Hall in the afternoon to a concert. to hear the White family sing.","07/29/1877","July","confident","Winter Harbor","assumed","mentioned",44.39168,NA,68.09103,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,"foggy",NA,NA,NA,NA,NA,NA,NA,"DD","wind direction entered in am as does not specify time of day, same with weather cond",NA,"GG"
"Shop",6,"The wind Southerly took all my provisions and dumage out of the Sea Flower. Work in shop in the afternoon.","08/13/1877","August","somewhat confident","Winter Harbor","assumed","mentioned",44.39078,NA,68.09316,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD","unsure in bold, wind direction entered in am as does not specify time of day",NA,"GG"
"Shop",6,"The wind South Easterly and rainy work in shop on guns. &c","10/12/1877","October","somewhat confident","Winter Harbor","assumed","mentioned",44.39078,NA,68.09316,NA,NA,NA,NA,"no letter",NA,NA,"SE",NA,NA,"rainy",NA,NA,NA,NA,NA,NA,NA,"DD","unsure in bold, wind direction entered in am as does not specify time of day, same with weather cond",NA,"GG"
"Home",6,"The wind N.N.W. moderate work about home thermometer 24°","12/22/1877","December","confident","Winter Harbor","mentioned","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NNW",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"DD","wind direction entered in am as does not specify time of day, same with wind speed and temperature",NA,"GG"
"Home",9,"The wind North West pleasant Thermometer 32 degrees.","01/01/1880","January","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"DD",NA,NA,"RL"
"Home",9,"The wind moderate Easterly and fine weather Thermometer 50 Commenced repairing Warren Smith Skiff in the fish house In the Evening Steam boat wharf meeting.","01/07/1880","January","confident","Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"E",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"DD",NA,NA,"RL"
"Home",9,"The wind North East Thermometer 18° above and thick with snow all day. Was Power  of Attorny for Capt J B Foss. Reed Card from Wm B Viall","01/13/1880","January","somewhat confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"read",NA,"William B. Viall","NE",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"DD","unsure in bold",NA,"RL"
"Home",9,"The wind North West. Thermometer 37 degrees Reed letter from Hugh Mckay Lotterie Agent at Canada.","01/19/1880","January","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"read",NA,"Hugh Mckey","NW",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"DD",NA,NA,"RL"
"Home",9,"The wind South West and pleasant all day and the Thermometer 37 above. Went to a Religious Meeting in the evening","01/25/1880","January","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"SW",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"DD",NA,NA,"RL"
"Home",9,"The wind Westerly and Thermometer 37 degrees wrote letter to Wm B Viall of Bethel Vt. and Auditor of the Treasurer Washington","01/31/1880","January","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"write","William B. Viall, Auditor of the Treasurer Washington",NA,"W",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"DD",NA,NA,"RL"
"Home",9,"The wind Westerly Thermometer 18 above Made sinlk for Capt N A Bickford. Reed card from Wm B Viall","02/06/1880","February","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,"William B. Viall","W",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"DD",NA,NA,"RL"
"Home",9,"The wind South East. and snowing in the morning Went in the woods and got one load of wood at 10 AM heavy rain and spoiled the sleding Thermometer 37°","02/12/1880","February","confident","Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"SE",NA,NA,"snowing, heavy rain",NA,NA,TRUE,NA,NA,NA,NA,"DD",NA,NA,"RL"
"Home",9,"The wind North East Thermometer 32 degrees snowing moderate all the forenoon. about 18 inches snow fall. The biggest storm for the winter so far. Work 1/2 day for N A Bickford.","02/24/1880","February","confident","Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NE",NA,NA,"snowing",NA,NA,TRUE,NA,NA,NA,NA,"DD",NA,NA,"RL"
"Home",9,"The wind West North West. Thermometer 30 degrees worked on half day for N A Bickford and finished work for the present all the lumber used up.","03/01/1880","March","confident","Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"WNW",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"DD",NA,NA,"RL"
"Home",9,"The wind Southerly Thermometer 33 degrees and overcast and the appearances of rain","03/07/1880","March","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"S",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"DD",NA,NA,"RL"
"Home",9,"The wind North West Thermometer at zero in the morning. Made a chart of the mail Routes in Gouldsboro to help establish a Post Office in Birch Harbor Work on Warren Smith boat.","03/13/1880","March","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,"DD",NA,NA,"RL"
"Home",9,"The wind South East Thermometer 47 degrees above Made oath to Amasiah Southard as road surveyer work in forenoon hauling wood for John Gerrish with bled at noon the sun had spoiled the sleding.","03/19/1880","March","confident","Winter Harbor","assumed","mentioned",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"SE",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"DD",NA,NA,"RL"
"Home",9,"The wind North blowing & snowing fearfully The roads blocked with snow so the mail could not go out. the only time for the Winter. Painted my skiff. Thermometer 20° above zero.","03/25/1880","March","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"N",NA,NA,"snowing fearfully",NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,"RL"
"Home",9,"The wind North East fresh breeze Thermometer 30 wrote letters to Chas Shaw & Eastern Express Agent at Milbridge Filled out the paper for the new P.O. at Birch Harbor.","03/31/1880","March","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"write","Chas Shaw, Eastern Express Agent",NA,"NE",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"DD",NA,NA,"RL"
"Home",9,"THe wind North West. Thermometer 37 degrees Finished making oars.","04/06/1880","April","confident","Winter Harbor","assumed","assumed",44.39044,NA,68.09314,NA,NA,NA,NA,"no letter",NA,NA,"NW",NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,"DD",NA,NA,"RL"
