date_mdy,month,journal_entry,transcription_accuracy,location,location_accuracy,local_place,local_place_accuracy,latitude,latitude_origin,longitude,longitude_origin,quantity,unit,item,letter,letter_from,letter_to,wind_direction_am,wind_direction_pm,wind_direction_night,wind_speed_am,wind_speed_pm,wind_speed_night,weather_condition_am,weather_condition_pm,weather_condition_night,temperature_am,temperature_pm,temperature_night,image_path,image_description,recorder,notes,noteworthy,second_check,
3/10/1886,March,"Southerly Wind Work in shop all day doing jobs of work. and getting ready to go to New Bedford to take Schr. ""Chromo"" In the evening went to the Hall. a meeting of the Masons and was visited by Bo Lincoln H Leighton the D. D. G. M. of F.&.A.M. As was requested by the Grand Master and by us to inspect our quarters He pronounced it all night and would report the same",confident,"Winter Harbor, New Bedford",mentioned,"shop, Hall",NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/11/1886,March,"Wind South West. Went to South Gouldsboro in morning to take the Str Rockland. thence the Bangor Boat for Boston. bound to New Bedford to take charge of the ""Chromo"" again. But as the Rockland did not come. I went back home staid untill after noon. Went back to South Gouldsboro. took the Str Sebanou. Went to Mount Desert Ferry. took the main Contrail R.R. Went to Bangor. Changed to the Eastern R.R. at 7.45 for Boston",somewhat confident,"South Gouldsboro, Rockland, Bangor, Boston",mentioned,Mount Desert Ferry,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/12/1886,March,"Wind South SouthWest Arrived at the E.RR Depot at 6.30 AM. Went to the Old Colony Depot took tram at 8.30 AM. Arrived in New Bedford at 10.30 AM. and on board ""Chromo"" at 11.20 A.M. with mate & Cook. In the afternoon Rainy did not do much toward getting ready to sail",confident,New Bedford,mentioned,Old Colony Depot,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SSW,NA,NA,NA,NA,NA,NA,rainy,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/13/1886,March,Calm untill night then the wind North West and rain. Hauled from wharf to Stream Filled water. got ship stores on board and all the vessels sails rigging & block except foresail and mainsail. and noon of some of the rigging The sails rigging & was stored in sail left in New Bedford the vessel hauled up at Fair Haven,confident,New Bedford,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,calm,calm,NA,rain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/14/1886,March,Wind North West in forenoon and South West in afternoon. Chromo lying in New Bedford Harbor. hauled from the wharf yesterday where she has been hauled up over two months,confident,New Bedford,mentioned,wharf,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/15/1886,March,"Wind Easterly and overcast. Chromo in New Bedford. got fore and main sails on board. bent the lower sails. all the blocks hooked and finished reeving rigging. The vessel ready to sail at dark, but looks stormy. In the eve went a shore to Frais Haven Masonic Lodge called Concordia Lodge. They opened on the third degree. I got in by on examination",somewhat confident,New Bedford,NA,Concordia Lodge,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,E,NA,NA,NA,NA,NA,overcast ,NA,stormy,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/16/1886,March,Calm and thick with fog all the forenoon But at noon the wind came of NorthWest. Got underway at New Bedford and went out for New York. Two reefed the mainsail near the Hen & Chickens Light ship blowing fresh. Finding one could not fetch by Block Island. and fearing it would blow so hard we could not carry sail the vessel being light and would not tack wore ship and stood toward saconet light when the wind hauled North. Wore ship again and passed Point Judith at 10 PM. At midnight about 5 miles East from Watch Hill very moderate. So ends these 24 hours.,confident,"New Bedford, New York, Point Judith, Watch Hill",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,calm,NA,very moderate,thick with fog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/17/1886,March,Wind very moderate Chromo. about 2 miles East from Watch Hill shook reef out the mainsail. Passed the Little Gull at 4 P.M. at 8 abrest the Long sand shoal light ship. At noon near Falkners Island. and took the wind west. at sunset the wind NorthWest Passed the middle Ground at 7.30 PM At midnight abreast of Eatons Neck becalmed So ends these 24 hours,confident,"Watch Hill, Little Gull, Falkners Island, Eatons Neck",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/18/1886,March,Calm untill 3 oclock P.M. when the wind breezed up South South West The Chromo at this time abreast of Eatons Neck where she was last night at 12 oclock. At 8 pm becalmed then a dead air East drifted by Execution Rock Light at 12 oclock or midnight. We have only gone about 15 miles in the last 24 hours,confident,"Eatons Neck, Execution Rock Light",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SSW,NA,NA,calm,breezed up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/19/1886,March,Wind so light and baffling it is impossible to give any description of it. Drifted by Stepping storms at 4 oclock A.M. Frogs point at day light. When took the wind Easterly fresh. Towed through the gates and anchored at the Red Hook. Went to Town. Got a Coal order and left town at noon. Went on board Chromo at the Hook. got under way and went to Elizabeth port. to load coal for NewPort. Freight 96 cts. arriving at Elizabeth Port at 3 PM Heavy shower with thunder and hail,confident,"Frogs Point, Winter Harbor, Red Hook, New Jersey",assumed,Elizabeth Port,mentioned,NA,NA,NA,NA,NA,count,coal,no letter,NA,NA,E,NA,NA,"light, baffling",NA,NA,fresh,"heavy shower, thunder, hail",NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/20/1886,March,Wind South Easterly and thick with fog and sometimes almost rain. Chromo lying of from the coal dock at Elizabeth Port waiting for a berth to load.,confident,New Jersey,assumed,Elizabeth Port,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SE,NA,NA,NA,NA,NA,thick with fog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/21/1886,March,Wind Easterly fresh and rainy Vessel at Elizabeth Port waiting for a chance to load,confident,New Jersey,assumed,Elizabeth Port,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,E,NA,NA,NA,NA,NA,"fresh, rainy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/22/1886,March,Wind Westerly and fresh breeze Chromo at Elizabeth Port. Will not load to day took Cars and went to New York and back In afternoon hauled into the wharf ready to load. In the evening went to Essex Lodge No 49 of F&AM. at Elizabeth Port opened on third degree but did no work I got in by an examination,somewhat confident,"New Jersey, New York",assumed,"Elizabeth Port, Essex Lodge",mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,W,NA,NA,fresh breeze,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/23/1886,March,Wind Westerly and fresh. Commenced loading the Chromo in afternoon but did not finish,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,W,NA,NA,NA,NA,NA,fresh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/24/1886,March,Wind North West blowing very heavy Finished loading and got bills of laden at 9 am. and without the help of tug boats got out the dock at Elizabeth  Port made sail and anchored at the Red Hook at 12.30 PM to late in tide to get through the Gates,confident,"Red Hook, New Jersey",assumed,Elizabeth Port,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,blowing very heavy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/25/1886,March,Wind South Easterly Hove up anchor at Red Hook at 7 am. took tow boat and towed through the gates. Passed Execution Rocks at 10.20 am Eatons Neck at 12.40 PM Old Field at 3.15 P.M. very moderate. At 5 oclock PM becalmed and partially thick with fog on smoke and so remains Calm and thick at the ending of this day which is midnight,confident,"Red Hook, Execution Rocks, Eatons Neck, Old Field",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,NA,"very moderate, becalmed",calm,partially thick with fog,NA,thick,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/26/1886,March,Calm untill 3 oclock AM Then a little cast of the middle ground when the wind breezed up Westerly Passed through the Race at noon. Watch Hill at 2 pm. Point Judith at 5 PM and anchored at NewPort at 8 oclock PM which is our port of destination. and will have to wait to wait over turn to discharge as there is another vessel in ahead of us. that will not begin to discharge untill monday,confident,"Race, Watch Hill, New Port, Point Judith",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,NA,NA,calm,calm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/27/1886,March,Wind Southerly in morning and went around Easterly Rain in the afternoon and evening. Vessel Lying for a turn to discharge,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,"S, E",NA,NA,NA,NA,NA,NA,rain,rain,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/28/1886,March,Wind North East and overcast Chromo lying at New Port waiting for a chance to discharge,confident,New Port,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NE,NA,NA,NA,NA,NA,overcast,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/29/1886,March,Wind North Easterly Chromo at New Port no berth yet to discharge,confident,New Port,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/30/1886,March,Wind Easterly and rainy all day Chromo at NewPort not commenced to discharge,confident,New Port,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,E,E ,E,NA,NA,NA,rainy,rainy,rainy,NA,NA,NA,NA,NA,NA,NA,NA,GG,
3/31/1886,March,Wind South and thick with fog Chromo at Newport not commenced to discharge but is waiting her turn,confident,New Port,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,NA,NA,NA,thick with fog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/1/1886,April,Wind S.S.West fresh breeze Chromo at Newport and hauled into the wharf in the wharf in the afternoon. Reed letter grom G.W. Tracy that my fish house burned down,confident,New Port,mentioned,wharf,mentioned,NA,NA,NA,NA,NA,NA,NA,read,G.W. Tracy,NA,SSW,NA,NA,fresh breeze,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/2/1886,April,Wind South West and fine weather Commenced to discharge Chromo of her load of coal At night was abt three quarters out. Consigned to G.B. Reynolds & Co. Have been here one week to night,confident,NA,NA,NA,NA,NA,NA,NA,NA,1,load,coal,no letter,NA,NA,SW,NA,NA,NA,NA,NA,fine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/3/1886,April,Wind North East. and snowy all day Finished discharging and at noon at Newport. In afternoon agreed to go to Sakonnet to load hides from a wrecked brig from South America for Boston amount agreed $287.50. At night hauled from the wharf all ready,confident,"Newport, Boston, South America, Sakonnet",mentioned,NA,NA,NA,NA,NA,NA,NA,count,hide,no letter,NA,NA,NE,NE ,NE,snowy,snowy,snowy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/4/1886,April,"Wind North East and apart of the day snowy. Got under way at Newport at day light, and went to Sakonnet found the Wrecked Brig. that had the hides on board. Was told to go up Sakonnet River to Liverton a distance of about ten miles the wrecking peliover had taken out 2070 hides and landed them at Liverton Got underway again at noon at  and went to Liverton arriving at 4 oclock P.M.",somewhat confident,"Sakonnet, Sakonnet River, Liverton",mentioned,NA,NA,NA,NA,NA,NA,2070,count,hide,no letter,NA,NA,NE,NA,NA,NA,NA,NA,snowy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/5/1886,April,Wind North East the wrecking schooner brought along side 14.96 hides which we received on board. also apart of the 2070 hides that lay on the wharf at Liverton up the Sakonnet River that was landed yesterday,confident,"Sakonnet, Liverton, Sakonnet River",mentioned,NA,NA,NA,NA,NA,NA,"3,566",count,hide,no letter,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/6/1886,April,Wind East North East and blowing a gale The wrecking schooner Young America brought along side 1818 hides that was taken out yesterday and the wind blowing so hard she did not go back after any more. And we took of the wharf the remainder of the 2070 hides that was landed sunday. So we have on board now altogether 1496 + 2070 + 1818 = 5384,confident,NA,NA,NA,NA,NA,NA,NA,NA,5384,count,hide,no letter,NA,NA,ENE,NA,NA,"blowing a gale, blowing hard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/7/1886,April,Wind Southerly and very rough. No cargo received from the Wrecked Brig The Wrecked Brig is Fast breaking up and some hides have washed ashore It is the intention now to go as near the wreck as possible when smooth enough to get the hides which is washing up,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,rough,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/8/1886,April,Wind Northerly Got the Chromo underway at 9 oclock AM at Liverton R.I. and went down the River to Sakonnet Point and took on board 1381 hides from the Dutch Big which was wrecked a week ago near Sakonnet Point Light House. And we have got all we are going to take All we have taken on board to day was picked up wind the shore the Old Brig Broken up. At dark filled away and beat back to Liverton. and anchored at midnight Will have to Clear from the Custom House at Newport before I sail,confident,"Liverton, Sakonnet Light House, Newport, Sakonnet Point",mentioned,NA,NA,NA,NA,NA,NA,1381,count,hide,no letter,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/9/1886,April,"Number of hides on board 6765 Wind North North West. Chromo at Liverton R I. which is up the Sakonnet River At 7 AM went ashore got team went to the Depot. took the 9 AM train & went to Newport R.I. Cleared the vessel from the Custom House, as her cargo was Foreign Took the 10.20 am train back to Liverton. and went on board the Chromo at 12.30 PM wind South West. Got underway beat out. Passed Sakonnet Point at 4.20 PM Passed Vineyard Sound Light Ship at 5.45 Passed Tarpaulin Cove Light at 8 oclock P.M. At midnight about 5 miles to the westward of Cross Rip Light Ship. Fine weather. So ends these 24 hours",confident,"Liverton, Sakonnet River, Newport, Sakonnet Point, Vineyard Sound Lightship, Cross Rip Light Ship",mentioned,NA,NA,NA,NA,NA,NA,6765,count,hide,no letter,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/10/1886,April,Wind SouthWest. Passed the Cross Rip Light Ship at one AM. Naucetts at 8.30 A.M. Cape Cod Light House at 10.30 A.M. Wind Westerly. At 4 oclock PM Wind Struck North fresh. Fetched to the windward of the Groves and went in Broad Sound into Boston anchored at midnight. So ends these 24 hours,confident,"Cross Rip Light Ship, Naucetts, Cape Cod Light, Boston",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,"SW, W",W ,NA,NA,NA,NA,NA,fresh,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/11/1886,April,Wind North East in morning and hauled around South East in afternoon. Towed into Union Wharf in forenoon. and in the evening went to the Seamens Bethel,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NE,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/12/1886,April,Wind East Southerly Worked all the forenoon at the Custom House to get a permit to discharge the Cargo of hides. And at 3 pm commenced to discharge them at Lewis wharf Boston in the evening went to Austin & Stones dime museam,confident,"Boston, Lewis wharf",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/13/1886,April,Wind Southerly Stevedores work all day discharging cargo of hides at Lewis wharf Boston,confident,"Boston, Lewis wharf",mentioned,NA,NA,NA,NA,NA,NA,NA,count,hide,no letter,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/14/1886,April,Wind South East. Cargo of hides discharged from the Schr Chromo at Lewis wharf Boston at 10 oclock AM. Reed freight money and at noon towed to Union wharf for freight last. reed little freight,confident,"Lewis wharf, Union wharf",mentioned,NA,NA,NA,NA,NA,NA,NA,count,hide,no letter,NA,NA,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/15/1886,April,Wind South Easterly Lying at Union wharf Boston all day. Took in some freight for Franklin. In the evening went to Eleusis Lodge. at the Masonic Temple on Tremont St. near Boybston at the farther end of the Common. Went in by an examination Two Craftsman raised to Master Masons,confident,"Boston, Union wharf, Franklin",mentioned,Masonic Temple,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/16/1886,April,Wind Easterly Chromo in Boston taking in some freight No chance to get last,confident,Boston,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/17/1886,April,Wind South Easterly Towed from Union wharf Boston to the Grain Elevator East Boston took in 105 Bbls flour and 450 bus corn. and hauled of on the flats and anchored at 5 P.M. At 9 oclock PM wind breezed up South West Got underway at Boston flats and went out for home. At midnight passed the Groves,confident,"Union wharf, Boston",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SE,NA,SW,NA,NA,breezed up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/18/1886,April,Wind South West Passed Thatches Island at 4 oclock A.M. Seguin at 8 P.M. and monhegan at midnight. So ends these 24 hours,confident,"Thatches Island, Seguin, Monhegan",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/19/1886,April,"Wind Westerly and very moderate. At 4 oclock AM the wind very moderate Easterly. Passed White Head at 5 am. & anchored NE from Ash Island, at 11 am the tide ahead At 4.30 PM got underway winds very light and baffling. At 8 P.M. got the beat a head to keep from drifting ashore on the Fiddler. At 10 PM anchored near the Sugar Loaves near Brown Head. becalmed.",confident,"White Head, Ash Island",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,W,E,NA,very moderate,"very moderate, very light, baffling",becalmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/20/1886,April,Wind North East. Got underway at the Sugar Loaves in moving. Passed by Winstons Island at noon Wind East and hauling out. Passed Deer Island Thorough fare at 3 P.M. Bakers Island at 9 PM with the wind W.S.W moderate. At 11 PM the fog came in thick anchored at Winter Harbor at midnight,confident,"Deer Island, Winstons Island, Bakers Island, Winter Harbor",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NE,E,WSW,NA,moderate,NA,NA,NA,thick with fog,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/21/1886,April,Wind Southerly. Chromo at Winter Harbor. Took on shore some coal and other articles and getting ready to go loading,confident,Winter Harbor,mentioned,NA,NA,NA,NA,NA,NA,NA,count,coal,no letter,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/22/1886,April,Wind Northerly in morning got underway at Winter Harbor in morning and went out for Sullivan. Got to Mark Island took the wind Southerly and went up the bay over the Falls my own Pilot and to J H West's wharf in West Sullivan,confident,"Winter Harbor, Sullivan, Mark Island, West Sullivan",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,"N,S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/23/1886,April,Wind SouthWest. Took out some freight at West Sullivan for J.H. West in forenoon And in the afternoon got underway and went to Franklin. to take out the remainder of the freight. and to load Settled a last years provision bill at Crabtree & Haveys this morning,confident,"West Sullivan, Franklin",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/24/1886,April,Rain in morning at 9 am cleared up Wind Westerly. Work most all day bagging corn and taking out  freight at Franklin,confident,Franklin,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,W,NA,NA,cleared up,NA,NA,rain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/25/1886,April,Wind North West Chromo laying at W B Blaisdell wharf Franklin,confident,Franklin,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/26/1886,April,Wind Northerly and fresh. Chromo at W.B. Blaisdells wharf Franklin taking over freight,confident,Franklin,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,N,NA,NA,NA,NA,NA,fresh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/27/1886,April,Wind Southerly on loaded one scow of stone. Loading the Chromo For J.P. Gordon for Philadelphia The freight that I brought for J.H.West from Boston is not all out nevertheless we have commenced loading sheet cross wings,confident,"Philadelphia, Boston",NA,NA,NA,NA,NA,NA,NA,1,scow,stone,no letter,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/28/1886,April,Wind Easterly in morning and hauled around Southerly Got rid of all the freight on board and took stone out of scows and from Blaisdells wharf.,confident,Blaisdells wharf,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,"E,S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/29/1886,April,"Wind North East Hauled from Blaisdells wharf in forenoon to J.P. Gordons wharf and took a load of stone out of a scow, and some from the wharf. In the evening went to the village of Franklin and Settled with J.H. West for his freight from Boston at W B Blaisdells store also settled with him for 5/6 of the Chromo dividends. Paying him $9.05 to one sixteenth amount paid him $45.45",confident,"Blaisdells wharf, J.P. Gordons wharf, Franklin, Boston",mentioned,W B Blaisdells store,mentioned,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
4/30/1886,April,Wind South Easterly Finished loading the Chromo with stone for J. P. Gordon Franklin for Philadelphia amt of freight $3.25 amt of stone on board Got bill of Laden Settled with J.P. Gordon for freight from Boston and paid him for 3/16 & 1/31 of Sch Chromos dividends $9.05 to 1/16 making $31.68 for him and Mrs Springer,confident,"Franklin, Philadelphia, Boston",mentioned,NA,NA,NA,NA,NA,NA,NA,count,stone,no letter,NA,NA,SE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
5/1/1886,May,Wind Southerly Hedged the Chromo From J.P. Gordons wharf over the bar middle sail and anchored abreast of Taunton. In the afternoon took the yawl boat & went down to West Sullivan. took up a note at Crabtree & Havens Sent O W Young $9.05 Chromos dividends by Alfred Crabtree,confident,"J.P Gordons wharf, West Sullivan",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
5/2/1886,May,Calm in morning Chromo at Taunton hove the anchor up at 3 oclock am and drifted down to West Sullivan with the yawl boat ahead apart of the time. In the afternoon wind Southerly went ashore at West Sullivan and walked down to Sullivan and paid Geo Lynam the dividends of the Chromo to the Sullivan owners there being owned 3/16 & 1/32 and paid $9.05 to one sixteenth the whole amount to due the Sullivan owners $31.67 went back at night,somewhat confident,"Taunton, West Sullivan, Sullivan",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NA,S,NA,calm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
5/3/1886,May,"Wind Southerly Chromo above the Falls no chance to get down over tug boat in Bangor upairing. In the afternoon went to Ellsworth to see about libeling the tug boat for towing the Chromo ashore the 17 of Aug 1885, but no Canoyers were posted in libeling suits therefore done nothing. Went back to Hancock on the 8.30 PM train my Daughter accompanied me as she has never been on the cars before",confident,"Bangor, Ellsworth, Hancock",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
5/4/1886,May,Wind South West At noon the tide was up. Took Capt Raymond Havey for a pilot and went down over the Falls and went home arrived at 4 PM very rough out side,confident,Falls,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SW,NA,NA,NA,rough,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
5/5/1886,May,Wind Southerly and so rough I did not attempt to go out The Chromo in sand Cove Winter Harbor,confident,Winter Harbor,mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,S,NA,NA,rough,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
5/6/1886,May,Wind SouthWest Got underway at Winter Harbor at 10.30 AM and beat out. Passed Turtle Isle Head at one P.M. Bakers Island at 6 P.M. and nearly becalmed midnight Mt Desert Rock Light bore South about 5 miles distant So ends these 24 hours,confident,"Winter Harbor, Turtle Island, Baker Island, Mt Desert Rock",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SW,NA,NA,NA,becalmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
5/7/1886,May,Wind South West. At noon the middle of Isle Au haut bore North. Wind hauling out Passed Matinicus Rock at 8.30 PM. and at midnight Monhegan bore N.N.W. So ends these 24 hours,confident,"Matinicus Rock, Monhegan",mentioned,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,SW,NA,NNW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
5/8/1886,May,Wind South. and one oclock AM commenced to thickers up overcast. At 5 AM wind Struck North East with rain. and breeze on. Run N.W by North for Portland and anchored in Portland roads at 10 oclock AM thick,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,"S, NE, NNW",NA,NA,NA,NA,NA,"overcast, rain",breezed up,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
5/9/1886,May,Wind N.N.E in morning. and cleared up in the forenoon. And at noon the wind North fresh got underway at Portland at noon. Passed Cape Elizabeth at 12.45 P.M. When the wind began to moderate with a high sea running At dark Thatches Island Lights bore S.W. by W about as far of as could be seen. At midnight Thatches Island Lights bore N.W. about 15 miles dist. So ends these 24 hours,confident,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no letter,NA,NA,NNE,"N, SW",NW,NA,moderate,NA,cleared up,fresh,NA,NA,NA,NA,NA,NA,NA,NA,NA,GG,
